rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
46,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,41,41,409,409,368,368,snapshot_2026_05_21.json,snapshot_2026_05_14.json
47,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,39,39,1267,1267,1228,1228,snapshot_2026_05_21.json,snapshot_2026_05_14.json
48,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,37,37,712,712,675,675,snapshot_2026_05_21.json,snapshot_2026_05_14.json
49,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,36,36,551,551,515,515,snapshot_2026_05_21.json,snapshot_2026_05_14.json
50,map,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,35,35,46,46,11,11,snapshot_2026_05_21.json,snapshot_2026_05_14.json
51,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,34,34,896,896,862,862,snapshot_2026_05_21.json,snapshot_2026_05_14.json
52,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,34,34,721,721,687,687,snapshot_2026_05_21.json,snapshot_2026_05_14.json
53,map,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,33,33,79,79,46,46,snapshot_2026_05_21.json,snapshot_2026_05_14.json
54,map,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,33,33,76,76,43,43,snapshot_2026_05_21.json,snapshot_2026_05_14.json
55,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,30,30,823,823,793,793,snapshot_2026_05_21.json,snapshot_2026_05_14.json
56,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,30,30,225,225,195,195,snapshot_2026_05_21.json,snapshot_2026_05_14.json
57,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,30,30,115,115,85,85,snapshot_2026_05_21.json,snapshot_2026_05_14.json
58,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,26,26,479,479,453,453,snapshot_2026_05_21.json,snapshot_2026_05_14.json
59,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,26,26,179,179,153,153,snapshot_2026_05_21.json,snapshot_2026_05_14.json
60,map,tri-cities,Tri-Cities,ryandicicco,ryandicicco,https://github.com/ryandicicco,26,26,26,26,0,0,snapshot_2026_05_21.json,snapshot_2026_05_14.json
61,map,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,25,25,481,481,456,456,snapshot_2026_05_21.json,snapshot_2026_05_14.json
62,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,25,25,329,329,304,304,snapshot_2026_05_21.json,snapshot_2026_05_14.json
