rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
87,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KKJ,JP,932578,19386,6090,1207,5.04,0.186,0.209,0.173,0.207,0.179,0.92,1772,314,881.07,87.66,358,907.1,85.17,6706,10694.44,1,0.79
88,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,TOR,IT,910203,14127,5885,1408,4.17,0.184,0.197,0.171,0.174,0.178,0.98,1731,214,716.88,90.13,151,1298.15,49.79,8167.5,11013.5,1,0.16
89,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,YYC,CA,890139,7422,3571,1215,2.93,0.292,0.331,0.325,0.473,0.308,0.75,1356,848,922.11,79.34,369,835.46,87.57,12593,14438.33,1,0.42
90,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,POZ,PL,879209,25077,17449,5310,3.28,0.138,0.182,0.158,0.192,0.148,1,8660,52,192.79,85.88,68,259.16,63.88,6074,10817.73,1,0.71
91,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,HEL,FI,877596,13527,3419,1380,2.45,0.249,0.259,0.249,0.261,0.249,0.94,1188,132,1087.41,58.48,100,835.83,76.01,6313,7790.46,1,0.61
92,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OKA,JP,854048,15658,3975,780,5.09,0.185,0.207,0.169,0.202,0.177,0.93,1256,468,1234.08,88.72,423,1259.05,86.79,5092,9290.58,2,0.86
93,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,PEN,MY,852976,6708,933,424,2.18,0.608,0.681,0.494,0.575,0.548,0.32,1108,1237,5605.44,35.85,919,2337.4,83.49,14908,15605.07,2,0.73
94,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,PRM,IT,841395,9437,5915,1723,3.43,0.195,0.23,0.175,0.235,0.185,1,2664,297,583.46,83.63,140,1218.9,40.05,11765.3,18423.4,4,0.64
95,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,BNA,US,838863,60682,2807,2152,1.3,0.626,0.73,0.391,0.459,0.495,0.51,5091,225,394.35,98.84,59,439.65,88.62,30137,32582.08,1,0.55
96,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,WRO,PL,815464,22685,15120,4372,3.46,0.128,0.165,0.156,0.183,0.141,1,8488,56,213.53,87.33,60,278.54,66.95,6222,11273.91,1,0.81
97,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KMJ,JP,805122,17186,6161,1465,4.2,0.199,0.218,0.167,0.195,0.182,0.97,2056,189,603.34,91.06,225,733.62,74.88,6433,9361.91,1,0.76
98,mexicali,Mexicali-Imperial Valley-Yuma,rslurry,slurry,https://github.com/rslurry,MXL,MX,801423,17416,2689,1514,1.77,0.349,0.435,0.338,0.445,0.344,0.56,5396,310,962.04,55.02,355,866.32,61.1,8850,14503.99,4,0.8
99,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,YEG,CA,798307,6612,3488,1297,2.68,0.3,0.332,0.322,0.438,0.311,0.78,1453,687,824.64,74.56,342,780.67,78.72,12640,15753.14,1,0.39
100,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,CJUF,KR,795684,12281,740,374,1.96,0.417,0.474,0.417,0.448,0.417,0.67,856,313,2140.27,99.2,1796,5535.35,100,6565,10275.98,1,0.79
101,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,GDN,PL,787912,21574,14824,4500,3.29,0.13,0.176,0.149,0.178,0.139,1,6948,50,200.74,87.2,74,287.81,60.82,7886,14406.6,1,0.81
102,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,SJU,PR,773862,9703,2901,1364,2.12,0.363,0.401,0.39,0.42,0.376,0.72,1762,412,825.32,68.62,253,618.47,91.5,7648,9945.51,3,0.4
103,jeju-4,Jeju (40km×40km),kimth9,kimth9,https://github.com/kimth9,CJU4,KR,770019,11188,503,225,2.07,0.417,0.486,0.417,0.485,0.417,0.62,460,617,3164.35,98.67,2594,7322.55,100,6597,10346.35,1,0.75
104,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,ORF,US,760588,61472,2322,1753,1.32,0.608,0.66,0.437,0.529,0.515,0.44,4624,232,451.64,96.06,133,512.08,84.71,25759,30861.67,2,0.86
105,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,SMF,US,755810,55081,2539,1785,1.41,0.556,0.59,0.415,0.46,0.48,0.6,3687,264,472.96,89.52,165,504.52,83.75,21613,24993.98,2,0.64
106,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,MEM,US,739736,39229,1534,1203,1.26,0.711,0.751,0.467,0.534,0.576,0.46,2589,422,677.93,90.69,228,713.58,86.12,18382,19513.84,1,0.52
107,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,YOW,CA,738872,6237,3373,1472,2.29,0.313,0.4,0.336,0.461,0.324,0.8,2442,324,601.09,83.49,272,684.88,73.3,12303,15106.95,3,0.41
108,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,DUB,IE,732172,3391,3265,764,4.26,0.161,0.175,0.156,0.182,0.159,1,707,1839,2123.73,84.95,523,1153.26,82.98,7976,8431.19,2,0.18
109,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,AMS,NL,720820,6522,530,281,1.86,0.398,0.616,0.447,0.712,0.422,0.68,378,3214,3993.59,99.29,1704,2517.27,98.93,14886,15779.72,1,0.31
110,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TOY,JP,673188,16717,7405,1676,4.41,0.205,0.221,0.183,0.208,0.194,0.92,1847,198,434.7,92.36,201,503.98,79.65,7376,11215.98,3,0.52
111,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,BAR,IT,660455,7869,3875,996,3.88,0.196,0.228,0.152,0.157,0.173,1,1289,371,770.35,85.84,156,1345.12,49.3,10265,11686.47,3,0.6
112,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,CJU3,KR,654905,9400,398,166,2.31,0.417,0.483,0.417,0.405,0.417,0.59,304,948,3987.29,98.19,3659,9041.68,100,6056,7508.66,1,0.52
113,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,LCJ,PL,652897,28269,18905,5984,3.16,0.125,0.17,0.15,0.178,0.137,1,6928,27,118.91,91.73,30,167.66,65.06,5838,10479.22,1,0.86
114,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,JAX,US,644217,52553,2775,2149,1.28,0.64,0.727,0.434,0.512,0.527,0.47,5160,170,317.6,94.37,97,390.11,76.83,29868,33563.33,2,0.58
115,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KIJ,JP,634641,14422,5697,1316,4.32,0.185,0.199,0.165,0.19,0.175,0.98,1438,177,544.95,88.45,219,650.22,74.16,6603,9726.66,1,0.39
116,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,RIV,IT,630314,7433,4349,1141,3.81,0.19,0.215,0.166,0.189,0.178,1,1678,326,639.38,86.33,149,1253.01,44.08,9912.4,16302.08,6,0.75
117,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,ESBI,ES,627288,4933,2981,971,3.06,0.194,0.236,0.151,0.169,0.171,1,1788,275,719.24,89.6,213,1527.8,42.22,12803.9,16388.04,3,0.68
